Reference Code,Date Time,Description,Dr.,Cr.,Status,Balance (NPR),Channel,Category
0X9J1KR,2025-06-16 20:04:46,Bank transfer charges,10.0,0.0,COMPLETE,1260.71,App,Banking & Finance
0X9J1KR,2025-05-16 20:04:46,Money transferred to EVEREST BANK LTD.,3000.0,0.0,COMPLETE,1270.71,App,Banking & Finance
0X8XDNK,2025-01-16 15:09:04,Fund Transferred to Abhishek Uprety,8775.0,0.0,COMPLETE,4270.71,App,Banking & Finance
0X8WQQF,2025-04-16 14:58:22,Fund Transferred to mukesh  dangol,505.0,0.0,COMPLETE,13045.71,App,Banking & Finance
0X8MGUP,2025-06-16 12:18:21,Paid for Shahi Suppliers,90.0,0.0,COMPLETE,13550.71,App,Groceries & Shopping
0X8A9TY,2025-02-16 09:01:24,Paid for Manakamana Maa Catering & Rental Services,120.0,0.0,COMPLETE,13640.71,App,Dining & Food
0X7XFPA,2025-05-15 20:38:22,Paid for Gopi    Krishna    Store,165.0,0.0,COMPLETE,13760.71,App,Groceries & Shopping
0X6TAPP,2025-06-15 10:52:56,Paid for SRIJANA KHAJAGHAR,200.0,0.0,COMPLETE,13925.71,App,Groceries & Shopping
0X6HZTM,2025-04-15 07:00:08,Ncell topup to 9707251078,50.0,0.0,COMPLETE,14125.71,App,Subscriptions
0X62L65,2025-01-14 19:18:11,Paid for Gopi    Krishna    Store,150.0,0.0,COMPLETE,14175.71,App,Groceries & Shopping
0X50ZSN,2025-03-14 09:48:42,Paid for Manakamana Maa Catering & Rental Services,120.0,0.0,COMPLETE,14325.71,App,Dining & Food
0X3KISU,2025-02-13 11:33:08,Paid for Shahi Suppliers,60.0,0.0,COMPLETE,14445.71,App,Groceries & Shopping
0X3CCMU,2025-05-13 09:09:30,Paid for Manakamana Maa Catering & Rental Services,120.0,0.0,COMPLETE,14505.71,App,Dining & Food
0X31IWZ,2025-05-12 21:10:37,Paid for Gopi    Krishna    Store,115.0,0.0,COMPLETE,14625.71,App,Groceries & Shopping
0X2KE8Z,2025-01-12 17:17:20,Fund Transferred to Khaja Ghar,260.0,0.0,COMPLETE,14740.71,App,Dining & Food
0X2HQ7H,2025-05-12 16:34:11,Paid for Shiva Shakti Oil Store,710.0,0.0,COMPLETE,15000.71,App,Groceries & Shopping
0X1HPJJ,2025-03-11 20:56:28,Paid for Dholahity Meat Shop,100.0,0.0,COMPLETE,15710.71,App,Groceries & Shopping
0X13H2F,2025-04-11 17:59:45,Ncell topup to 9808705522,60.0,0.0,COMPLETE,15810.71,App,Subscriptions
0X0QCI9,2025-05-11 14:53:07,Charge on payment for GIME Revenue TSA Account - eSewa,5.65,0.0,COMPLETE,15870.71,App,Banking & Finance
0X0QCI9,2025-01-11 14:53:07,Paid for GIME Revenue TSA Account - eSewa,500.0,0.0,COMPLETE,15876.36,App,Banking & Finance
0WYBVZB,2025-01-09 20:55:41,Paid for Gopi    Krishna    Store,95.0,0.0,COMPLETE,16376.36,App,Groceries & Shopping
0WW81G9,2025-03-08 17:27:19,Fund Transferred to Khaja Ghar,200.0,0.0,COMPLETE,16471.36,App,Dining & Food
0WVOA37,2025-01-08 12:08:42,Paid for SAGAR SHRESTHA,110.0,0.0,COMPLETE,16671.36,App,Groceries & Shopping
0WVKXYN,2025-01-08 11:12:44,Fund Transferred to Khaja Ghar,165.0,0.0,COMPLETE,16781.36,App,Dining & Food
0WUEOTV,2025-03-07 15:31:39,Fund Transferred by Bibek Shil Malla,0.0,10000.0,COMPLETE,16946.36,App,Income
0WSY9P7,2025-04-06 16:45:11,Fund Transferred by Agrima Shahi,0.0,300.0,COMPLETE,6946.36,App,Income
0WSXFJD,2025-02-06 16:33:03,Paid for KOTHEYS CHINESE FOOD PVT LTD,220.0,0.0,COMPLETE,6646.36,App,Dining & Food
0WSVX25,2025-04-06 16:10:30,Paid for BONUM CHA PVT LTD PATAN,290.0,0.0,COMPLETE,6866.36,App,Dining & Food
0WSV75U,2025-04-06 15:59:38,Paid for TISHA IMPEX,3300.0,0.0,COMPLETE,7156.36,App,Groceries & Shopping
0WSV57I,2025-01-06 15:58:46,Fund Transferred by Apil Shahi,0.0,3500.0,COMPLETE,10456.36,App,Income
0WQE0MI,2025-06-04 22:00:50,Paid for Gopi    Krishna    Store,160.0,0.0,COMPLETE,6956.36,App,Groceries & Shopping
0WQ8RNH,2025-04-04 20:14:01,Paid for Gopi    Krishna    Store,575.0,0.0,COMPLETE,7116.36,App,Groceries & Shopping
0WPVCY9,2025-02-04 17:32:57,Paid for Dipesh Hair Cutting & Saloon,150.0,0.0,COMPLETE,7691.36,App,Personal Care
0WOE149,2025-03-03 18:24:31,Paid for Gopi    Krishna    Store,95.0,0.0,COMPLETE,7841.36,App,Groceries & Shopping
0WKZKXS,2025-03-01 15:11:54,Fund Transferred to Kushal Thapa,135.0,0.0,COMPLETE,7936.36,App,Banking & Finance
0WKUX3T,2025-03-01 13:47:39,Paid for THAPA WATCH CENTER,450.0,0.0,COMPLETE,8071.36,App,Groceries & Shopping
0WJNK9E,2025-04-30 16:36:13,Fund Transferred to Biplov Malla,500.0,0.0,COMPLETE,8521.36,App,Banking & Finance
0WHX8PT,2025-01-29 14:57:46,Paid for BISWA RAJ RAI,105.0,0.0,COMPLETE,9021.36,App,Groceries & Shopping
0WHKH5F,2025-05-29 11:18:56,Paid for Gopi    Krishna    Store,110.0,0.0,COMPLETE,9126.36,App,Groceries & Shopping
0WH2RT1,2025-06-28 20:45:45,Paid for Gopi    Krishna    Store,75.0,0.0,COMPLETE,9236.36,App,Groceries & Shopping
0WGWNAY,2025-01-28 19:18:06,Paid for G R G BAKERY PRIVATE LIM,110.0,0.0,COMPLETE,9311.36,App,Groceries & Shopping
0WGUJKC,2025-02-28 18:53:13,Fund Transferred to Ashraya Jung Sijapati,200.0,0.0,COMPLETE,9421.36,App,Banking & Finance
0WGPGI7,2025-06-28 17:45:56,Paid for Olivos Pizza,30.0,0.0,COMPLETE,9621.36,App,Dining & Food
0WGMP1U,2025-03-28 17:06:46,Paid for BIKANER SWEET AND FASTFO,85.0,0.0,COMPLETE,9651.36,App,Dining & Food
0WGLYZA,2025-01-28 16:56:18,Paid for SURENDRA PANIPURI PASAL,100.0,0.0,COMPLETE,9736.36,App,Dining & Food
0WGKJSV,2025-05-28 16:35:48,Paid for CHICKEN KING PRIVATE LIMITED,300.0,0.0,COMPLETE,9836.36,App,Dining & Food
0WGKIUB,2025-02-28 16:35:26,Paid for CHICKEN KING PRIVATE LIMITED,140.0,0.0,COMPLETE,10136.36,App,Dining & Food
0WF7K67,2025-06-27 17:59:16,Paid for Gopi    Krishna    Store,80.0,0.0,COMPLETE,10276.36,App,Groceries & Shopping
0WDU0TE,2025-06-26 20:32:19,Fund Transferred to Binaya Shrestha,300.0,0.0,COMPLETE,10356.36,App,Banking & Finance
0WDN7GU,2025-06-26 19:12:16,Ncell topup to 9808705522,60.0,0.0,COMPLETE,10656.36,App,Subscriptions
0WB93NH,2025-04-25 11:42:28,Paid for Maa Dakshinkali Fing Vegetables & Juice World,60.0,0.0,COMPLETE,10716.36,App,Groceries & Shopping
0WB2GO6,2025-04-25 09:54:04,Paid for Manakamana Maa Catering & Rental Services,120.0,0.0,COMPLETE,10776.36,App,Dining & Food
0WAORU1,2025-01-24 20:56:51,Money transferred from GLOBAL IME BANK LTD.,0.0,1000.0,COMPLETE,10896.36,THIRDPARTY,Income
0W9WC69,2025-04-24 14:32:18,Fund Transferred to JANAKI SHAHI,100.0,0.0,COMPLETE,9896.36,App,Banking & Finance
0W9HSUK,2025-05-24 10:29:28,Fund Transferred to Gaurav Bhatt,370.0,0.0,COMPLETE,9996.36,App,Banking & Finance
0W9DFT1,2025-06-24 09:09:53,Paid for Manakamana Maa Catering & Rental Services,120.0,0.0,COMPLETE,10366.36,App,Dining & Food
0W8MH41,2025-03-23 17:49:42,Paid for Gopi    Krishna    Store,95.0,0.0,COMPLETE,10486.36,App,Groceries & Shopping
0W8LQDZ,2025-01-23 17:39:35,Fund Transferred to Biplov Malla,5000.0,0.0,COMPLETE,10581.36,App,Banking & Finance
0W7PNP9,2025-02-23 09:07:04,Paid for Manakamana Maa Catering & Rental Services,120.0,0.0,COMPLETE,15581.36,App,Dining & Food
0W7ONK9,2025-05-23 08:46:02,Fund Transferred by Arabha Motors,0.0,15000.0,COMPLETE,15701.36,App,Income
0W6O3PB,2025-01-22 15:09:02,Fund Transferred to Biplov Malla,500.0,0.0,COMPLETE,701.36,App,Banking & Finance
0W6LMV5,2025-04-22 14:28:48,Paid for Shahi Suppliers,25.0,0.0,COMPLETE,1201.36,App,Groceries & Shopping
0W6KO5C,2025-02-22 14:13:06,Paid for Shahi Suppliers,195.0,0.0,COMPLETE,1226.36,App,Groceries & Shopping
0W62DS7,2025-06-22 09:09:01,Paid for Shiva Shakti Oil Store,1000.0,0.0,COMPLETE,1421.36,App,Groceries & Shopping
0W5SKK5,2025-04-21 21:25:41,Paid for Gopi    Krishna    Store,125.0,0.0,COMPLETE,2421.36,App,Groceries & Shopping
0W4TOIB,2025-05-21 13:07:42,Paid for Infoways Computer System,3500.0,0.0,COMPLETE,2546.36,App,Groceries & Shopping
0W4OBU6,2025-02-21 11:41:13,Fund Transferred by Bibek Shil Malla,0.0,6000.0,COMPLETE,6046.36,App,Income
0W4LN6G,2025-01-21 10:58:01,Paid for SAGAR SHRESTHA,125.0,0.0,COMPLETE,46.36,App,Groceries & Shopping
0W1ZFL0,2025-05-19 17:09:04,Paid for Gopi    Krishna    Store,100.0,0.0,COMPLETE,171.36,App,Groceries & Shopping
0VXEP32,2025-01-16 18:02:59,Paid for Shahi Suppliers,390.0,0.0,COMPLETE,271.36,App,Groceries & Shopping
0VX330H,2025-05-16 15:20:07,Paid for Shahi Suppliers,335.0,0.0,COMPLETE,661.36,App,Groceries & Shopping
0VWIXE1,2025-01-16 09:51:06,Fund Transferred to Aayush Poudel,100.0,0.0,COMPLETE,996.36,App,Banking & Finance
0VVL1HV,2025-06-15 16:05:02,Fund Transferred to Suman Shakya,800.0,0.0,COMPLETE,1096.36,App,Banking & Finance
0VVKVR8,2025-01-15 16:02:44,Paid for Olivos Pizza,70.0,0.0,COMPLETE,1896.36,App,Dining & Food
0VULHFY,2025-04-14 22:13:22,Paid for Gopi    Krishna    Store,220.0,0.0,COMPLETE,1966.36,App,Groceries & Shopping
0VTV1S2,2025-04-14 14:59:02,Ncell topup to 9808705522,60.0,0.0,COMPLETE,2186.36,App,Subscriptions
0VSKN76,2025-04-13 17:43:54,Fund Transferred by Bibek Shil Malla,0.0,1000.0,COMPLETE,2246.36,App,Income
0VRJ37N,2025-05-13 08:31:42,Paid for Gopi    Krishna    Store,100.0,0.0,COMPLETE,1246.36,App,Groceries & Shopping
0VR8FYT,2025-06-12 20:32:14,Paid for Gopi    Krishna    Store,130.0,0.0,COMPLETE,1346.36,App,Groceries & Shopping
0VQ1M28,2025-04-12 08:25:55,Paid for Gopi    Krishna    Store,110.0,0.0,COMPLETE,1476.36,App,Groceries & Shopping
0VQ1FQF,2025-01-12 08:20:58,Fund Transferred by Apil Shahi,0.0,100.0,COMPLETE,1586.36,App,Income
0VPRBQ9,2025-04-11 20:31:51,Money transferred from NIC ASIA BANK LTD.,0.0,400.0,COMPLETE,1486.36,THIRDPARTY,Income
0VPCL36,2025-04-11 17:33:45,Paid for THE GAGA RESTAURANT,440.0,0.0,COMPLETE,1086.36,App,Dining & Food
0VP5TCE,2025-01-11 16:03:27,Paid for OLIVOS NEPAL,25.0,0.0,COMPLETE,1526.36,App,Dining & Food
0VNWBYO,2025-01-10 18:54:38,Paid for Olivos Pizza,110.0,0.0,COMPLETE,1551.36,App,Dining & Food
0VN7CGD,2025-04-10 12:46:56,Fund Transferred by Arabha Motors,0.0,1500.0,COMPLETE,1661.36,App,Income
0VL3QL7,2025-02-08 22:06:59,Paid for Gopi    Krishna    Store,70.0,0.0,COMPLETE,161.36,App,Groceries & Shopping
0VK6D4R,2025-01-08 13:43:04,Paid for Gopi    Krishna    Store,100.0,0.0,COMPLETE,231.36,App,Groceries & Shopping
0VHTAR0,2025-06-06 20:14:36,Ncell topup to 9808705522,60.0,0.0,COMPLETE,331.36,App,Subscriptions
0VHG9R5,2025-01-06 17:27:57,Paid for Shahi Suppliers,120.0,0.0,COMPLETE,391.36,App,Groceries & Shopping
0VHBZOB,2025-03-06 16:23:59,Paid for Shahi Suppliers,105.0,0.0,COMPLETE,511.36,App,Groceries & Shopping
0VHA1XA,2025-01-06 15:55:59,Fund Transferred to mukesh  dangol,155.0,0.0,COMPLETE,616.36,App,Banking & Finance
0VGSE77,2025-02-06 10:48:04,Ncell topup to 9808705522,60.0,0.0,COMPLETE,771.36,App,Subscriptions
0VGAX65,2025-02-05 20:14:31,Paid for Gopi    Krishna    Store,80.0,0.0,COMPLETE,831.36,App,Groceries & Shopping
0VGAR00,2025-04-05 20:11:49,Paid for Dholahity Meat Shop,100.0,0.0,COMPLETE,911.36,App,Groceries & Shopping
0VG6ZSW,2025-03-05 19:22:20,Fund Transferred by Bibek Shil Malla,0.0,1000.0,COMPLETE,1011.36,App,Income
0VFMWAF,2025-05-05 14:11:52,Paid for DYNAMIC,100.0,0.0,COMPLETE,11.36,App,Groceries & Shopping
0VFMSSU,2025-04-05 14:09:58,Fund Transferred by Apil Shahi,0.0,100.0,COMPLETE,111.36,App,Income
0VCPH57,2025-04-03 16:04:08,Fund Transferred to Ashraya Jung Sijapati,500.0,0.0,COMPLETE,11.36,App,Banking & Finance
0VCPDU2,2025-01-03 16:02:41,Paid for HAMRO ADDA CAFE,100.0,0.0,COMPLETE,511.36,App,Dining & Food
0VC723Q,2025-01-03 10:56:21,Bank transfer charges,10.0,0.0,COMPLETE,611.36,App,Banking & Finance
0VC723Q,2025-06-03 10:56:21,Money transferred to SANIMA BANK LTD.,100.0,0.0,COMPLETE,621.36,App,Banking & Finance
0V9K8PE,2025-01-01 15:58:06,Paid for Gopi    Krishna    Store,100.0,0.0,COMPLETE,721.36,App,Groceries & Shopping
UVASLEK,2025-05-17 01:52:00,Paid for Sel Roti from local vendor,921.44,0.0,COMPLETE,5244.6,App,Dining & Food
6124DH0,2025-03-21 15:57:00,Paid for Sel Roti from local vendor,1251.27,0.0,COMPLETE,9027.19,App,Dining & Food
MCX73EJ,2025-06-26 02:38:00,Lunch at KFC,1129.92,0.0,COMPLETE,3265.1,App,Dining & Food
IN48TYX,2025-06-20 08:49:00,Lunch at KFC,1309.86,0.0,COMPLETE,2374.69,App,Dining & Food
RDDFP1P,2025-02-18 18:20:00,Starbucks Coffee,956.39,0.0,COMPLETE,6505.92,App,Dining & Food
LOEUB0E,2025-06-26 15:08:00,Paid for Sel Roti from local vendor,569.95,0.0,COMPLETE,3459.91,App,Dining & Food
YV6C8F9,2025-01-06 13:45:00,Starbucks Coffee,728.48,0.0,COMPLETE,9567.42,App,Dining & Food
S4557XN,2025-03-01 23:43:00,Paid for Momo at Bota Simply Momo,253.1,0.0,COMPLETE,3776.62,App,Dining & Food
TN492PF,2025-03-20 03:08:00,Ordered Thukpa at Himalayan Kitchen,117.33,0.0,COMPLETE,3502.2,App,Dining & Food
P1D8KKJ,2025-01-22 11:07:00,Chowmein from Thakali Bhanchha,188.8,0.0,COMPLETE,2761.67,App,Dining & Food
EGMWNRX,2025-06-12 12:17:00,Lunch at KFC,1479.35,0.0,COMPLETE,4909.12,App,Dining & Food
HZLJNGQ,2025-04-20 19:11:00,Dinner at Dalle,303.67,0.0,COMPLETE,7358.08,App,Dining & Food
82TY5H9,2025-01-01 13:19:00,Chowmein from Thakali Bhanchha,1361.41,0.0,COMPLETE,2446.1,App,Dining & Food
5PY9OTK,2025-06-28 20:15:00,Chowmein from Thakali Bhanchha,1282.65,0.0,COMPLETE,8462.96,App,Dining & Food
FKF80JU,2025-06-28 00:20:00,Chowmein from Thakali Bhanchha,1408.72,0.0,COMPLETE,543.88,App,Dining & Food
6OPBECF,2025-04-15 17:50:00,Dinner at Dalle,1041.32,0.0,COMPLETE,2759.62,App,Dining & Food
NKZZ28P,2025-01-08 16:01:00,Lunch at KFC,1053.17,0.0,COMPLETE,2045.66,App,Dining & Food
EOKEVC2,2025-04-26 18:35:00,Ordered Thukpa at Himalayan Kitchen,1225.05,0.0,COMPLETE,9042.82,App,Dining & Food
O4EKS48,2025-01-13 10:35:00,Chowmein from Thakali Bhanchha,620.7,0.0,COMPLETE,1387.82,App,Dining & Food
GMM2DZO,2025-03-26 01:39:00,Paid for Momo at Bota Simply Momo,280.83,0.0,COMPLETE,4041.38,App,Dining & Food
W5BQGDY,2025-05-21 05:55:00,McDonald's Meal,681.27,0.0,COMPLETE,893.38,App,Dining & Food
YCORY1N,2025-01-02 02:51:00,Paid for Sel Roti from local vendor,886.64,0.0,COMPLETE,6002.34,App,Dining & Food
HDSVGVB,2025-02-28 11:28:00,Starbucks Coffee,626.62,0.0,COMPLETE,2075.35,App,Dining & Food
AU0D48Y,2025-03-15 23:44:00,Chowmein from Thakali Bhanchha,1459.02,0.0,COMPLETE,4162.27,App,Dining & Food
GORZ3UJ,2025-04-04 03:32:00,Ordered Thukpa at Himalayan Kitchen,752.31,0.0,COMPLETE,9024.8,App,Dining & Food
WFGFOG4,2025-02-26 23:52:00,Paid for Momo at Bota Simply Momo,379.6,0.0,COMPLETE,3115.35,App,Dining & Food
0LFOAY0,2025-05-16 22:53:00,Starbucks Coffee,591.21,0.0,COMPLETE,1296.43,App,Dining & Food
HPURPRF,2025-03-04 10:43:00,Starbucks Coffee,574.91,0.0,COMPLETE,1013.96,App,Dining & Food
JDQA57G,2025-05-10 20:17:00,Starbucks Coffee,1352.35,0.0,COMPLETE,6321.16,App,Dining & Food
8FY5DXG,2025-06-29 20:08:00,Chowmein from Thakali Bhanchha,285.74,0.0,COMPLETE,3401.37,App,Dining & Food
7JOT00S,2025-02-28 13:26:00,Paid for Momo at Bota Simply Momo,438.92,0.0,COMPLETE,2284.49,App,Dining & Food
ZTLCIUW,2025-05-15 18:22:00,McDonald's Meal,612.33,0.0,COMPLETE,8231.4,App,Dining & Food
CL07PNH,2025-06-25 11:38:00,Chowmein from Thakali Bhanchha,1032.54,0.0,COMPLETE,9689.24,App,Dining & Food
CXM3NL8,2025-01-12 08:00:00,Starbucks Coffee,238.1,0.0,COMPLETE,5284.87,App,Dining & Food
A7A0T5Q,2025-02-01 08:33:00,Chowmein from Thakali Bhanchha,1019.9,0.0,COMPLETE,1298.36,App,Dining & Food
1CJR0BY,2025-04-07 15:06:00,Dinner at Dalle,588.15,0.0,COMPLETE,8518.03,App,Dining & Food
CFS1LXB,2025-04-27 05:01:00,Paid for Sel Roti from local vendor,866.93,0.0,COMPLETE,7128.91,App,Dining & Food
DDP7ZZR,2025-04-28 09:38:00,Paid for Momo at Bota Simply Momo,854.59,0.0,COMPLETE,3802.71,App,Dining & Food
YIP908P,2025-01-14 04:02:00,McDonald's Meal,527.96,0.0,COMPLETE,9580.8,App,Dining & Food
6IBPH1Z,2025-03-17 18:02:00,Chowmein from Thakali Bhanchha,582.04,0.0,COMPLETE,2266.06,App,Dining & Food
AXN144K,2025-05-13 13:12:00,Starbucks Coffee,1200.08,0.0,COMPLETE,3208.03,App,Dining & Food
NUGM2KO,2025-06-25 15:35:00,Starbucks Coffee,996.12,0.0,COMPLETE,5410.89,App,Dining & Food
71LCNWF,2025-06-30 22:24:00,Paid for Sel Roti from local vendor,1186.84,0.0,COMPLETE,7408.05,App,Dining & Food
30TRNIL,2025-06-11 18:14:00,Ordered Thukpa at Himalayan Kitchen,486.29,0.0,COMPLETE,8513.05,App,Dining & Food
KAWLE64,2025-02-28 21:59:00,Lunch at KFC,926.22,0.0,COMPLETE,1947.82,App,Dining & Food
5AAWYPI,2025-01-03 16:46:00,Starbucks Coffee,1448.04,0.0,COMPLETE,6823.26,App,Dining & Food
OTIGK53,2025-01-18 02:18:00,Chowmein from Thakali Bhanchha,1488.76,0.0,COMPLETE,9636.0,App,Dining & Food
JJ0787M,2025-05-02 07:25:00,Paid for Momo at Bota Simply Momo,1477.17,0.0,COMPLETE,2268.89,App,Dining & Food
YF7SXN8,2025-05-12 03:49:00,Paid for Sel Roti from local vendor,523.41,0.0,COMPLETE,4359.1,App,Dining & Food
DAOJ0XW,2025-03-21 14:56:00,Paid for Momo at Bota Simply Momo,857.53,0.0,COMPLETE,8552.77,App,Dining & Food
0KQ4HTE,2025-02-12 21:22:00,McDonald's Meal,1233.68,0.0,COMPLETE,7099.22,App,Dining & Food
W2SGD7Y,2025-04-22 01:50:00,Lunch at KFC,777.45,0.0,COMPLETE,3911.14,App,Dining & Food
XV1GZA5,2025-03-25 06:50:00,Paid for Sel Roti from local vendor,199.4,0.0,COMPLETE,9208.28,App,Dining & Food
L6DVRFT,2025-06-22 06:49:00,Lunch at KFC,995.19,0.0,COMPLETE,9930.04,App,Dining & Food
N88B2Z9,2025-03-21 16:50:00,Lunch at KFC,322.29,0.0,COMPLETE,9461.42,App,Dining & Food
QML4LO6,2025-01-18 22:04:00,Chowmein from Thakali Bhanchha,203.47,0.0,COMPLETE,2385.41,App,Dining & Food
AS9OSSP,2025-03-23 01:28:00,Dinner at Dalle,956.59,0.0,COMPLETE,3131.84,App,Dining & Food
NCNIUD9,2025-04-29 23:27:00,Paid for Momo at Bota Simply Momo,1168.61,0.0,COMPLETE,569.08,App,Dining & Food
0QAUNJ7,2025-05-06 16:14:00,Paid for Momo at Bota Simply Momo,1304.72,0.0,COMPLETE,2637.98,App,Dining & Food
LS7T6DS,2025-02-01 16:03:00,Chowmein from Thakali Bhanchha,786.66,0.0,COMPLETE,3480.71,App,Dining & Food
XGLHZO2,2025-05-01 02:18:00,Chowmein from Thakali Bhanchha,1195.15,0.0,COMPLETE,8841.69,App,Dining & Food
CUCQ5LB,2025-05-31 17:24:00,Paid for Sel Roti from local vendor,882.76,0.0,COMPLETE,3929.56,App,Dining & Food
DVOY2RY,2025-03-05 23:25:00,Dinner at Dalle,320.19,0.0,COMPLETE,3423.17,App,Dining & Food
WH2ZJK3,2025-06-07 12:39:00,Dinner at Dalle,751.04,0.0,COMPLETE,5269.0,App,Dining & Food
X5JSR7M,2025-06-12 17:03:00,Paid for Sel Roti from local vendor,809.2,0.0,COMPLETE,9986.61,App,Dining & Food
IPURMJ4,2025-03-03 07:10:00,Paid for Momo at Bota Simply Momo,1445.81,0.0,COMPLETE,8260.47,App,Dining & Food
YXYYGRH,2025-03-24 11:19:00,Dinner at Dalle,728.14,0.0,COMPLETE,1785.04,App,Dining & Food
TZSXD4I,2025-03-25 04:12:00,Ordered Thukpa at Himalayan Kitchen,277.25,0.0,COMPLETE,6768.57,App,Dining & Food
5WPYCIY,2025-06-21 12:39:00,Dinner at Dalle,1468.98,0.0,COMPLETE,871.24,App,Dining & Food
VB3XPVX,2025-02-19 20:00:00,McDonald's Meal,1213.6,0.0,COMPLETE,628.48,App,Dining & Food
