Reference Code,Date,Time,Description,Dr.,Cr.,Status,Balance (NPR),Channel,Category
YQRXUVF,2025-09-04,00:00:00,Paid for Parlor Service,636.85,0.0,COMPLETE,9152.76,Linked Esewa Payment,Personal Care
K42407Q,2025-10-13,00:00:00,Bought cosmetics from MeroBeauty,1317.1,0.0,COMPLETE,4977.89,THIRDPARTY,Personal Care
5483VZO,2025-09-11,00:00:00,Salon Payment - SastoDeal,1534.95,0.0,COMPLETE,7259.32,App,Personal Care
N78E3BY,2025-10-06,00:00:00,Paid for Parlor Service,701.74,0.0,COMPLETE,1141.99,THIRDPARTY,Personal Care
IO4XCSH,2025-09-22,00:00:00,Bought cosmetics from MeroBeauty,1569.36,0.0,COMPLETE,4450.13,THIRDPARTY,Personal Care
8VKGBL7,2025-10-09,00:00:00,Salon Payment - SastoDeal,2822.96,0.0,COMPLETE,7187.99,THIRDPARTY,Personal Care
XXPGI2M,2025-10-25,00:00:00,Paid for Parlor Service,484.38,0.0,COMPLETE,2086.71,Linked Esewa Payment,Personal Care
6ADBXO4,2025-09-11,00:00:00,Salon Payment - SastoDeal,671.78,0.0,COMPLETE,8566.18,THIRDPARTY,Personal Care
PPX28I2,2025-09-24,00:00:00,Salon Payment - SastoDeal,1137.06,0.0,COMPLETE,646.11,Linked Esewa Payment,Personal Care
80M4R14,2025-10-01,00:00:00,Salon Payment - SastoDeal,2974.39,0.0,COMPLETE,1936.54,THIRDPARTY,Personal Care
8E7FVGO,2025-09-02,00:00:00,Salon Payment - SastoDeal,585.97,0.0,COMPLETE,578.73,App,Personal Care
HEBDSHW,2025-10-05,00:00:00,Salon Payment - SastoDeal,3932.87,0.0,COMPLETE,7825.52,App,Personal Care
8NX6IBV,2025-09-03,00:00:00,Salon Payment - SastoDeal,4414.2,0.0,COMPLETE,7275.7,THIRDPARTY,Personal Care
LMHA5J0,2025-10-17,00:00:00,Bought cosmetics from MeroBeauty,145.37,0.0,COMPLETE,6599.12,THIRDPARTY,Personal Care
GT6XOXW,2025-10-20,00:00:00,Paid for Parlor Service,360.62,0.0,COMPLETE,8462.16,THIRDPARTY,Personal Care
L7BZ8XD,2025-10-05,00:00:00,Bought cosmetics from MeroBeauty,4817.63,0.0,COMPLETE,3039.01,THIRDPARTY,Personal Care
VZU0LK2,2025-09-04,00:00:00,Paid for Parlor Service,4615.84,0.0,COMPLETE,8942.89,App,Personal Care
VNKE509,2025-10-22,00:00:00,Paid for Parlor Service,2734.11,0.0,COMPLETE,4550.98,App,Personal Care
CF4LW2H,2025-09-30,00:00:00,Salon Payment - SastoDeal,1226.62,0.0,COMPLETE,6424.01,App,Personal Care
9UKZZ1P,2025-09-30,00:00:00,Bought cosmetics from MeroBeauty,2944.45,0.0,COMPLETE,2366.63,Linked Esewa Payment,Personal Care
HCADKOI,2025-09-05,00:00:00,Bought cosmetics from MeroBeauty,148.26,0.0,COMPLETE,7322.93,THIRDPARTY,Personal Care
2VMILVW,2025-09-23,00:00:00,Paid for Parlor Service,4548.57,0.0,COMPLETE,6327.57,App,Personal Care
ETAHX32,2025-10-25,00:00:00,Paid for Parlor Service,1435.37,0.0,COMPLETE,4869.19,Linked Esewa Payment,Personal Care
20LQ2HY,2025-10-19,00:00:00,Salon Payment - SastoDeal,237.42,0.0,COMPLETE,290.07,App,Personal Care
PJG7PFC,2025-09-16,00:00:00,Bought cosmetics from MeroBeauty,1764.7,0.0,COMPLETE,3201.15,App,Personal Care
QL74283,2025-10-14,00:00:00,Paid for Parlor Service,1270.28,0.0,COMPLETE,7129.4,App,Personal Care
A2D2PI6,2025-09-03,00:00:00,Bought cosmetics from MeroBeauty,927.18,0.0,COMPLETE,4907.25,THIRDPARTY,Personal Care
VR6HKQO,2025-09-14,00:00:00,Bought cosmetics from MeroBeauty,2454.49,0.0,COMPLETE,7807.19,App,Personal Care
MJJLYRR,2025-10-11,00:00:00,Salon Payment - SastoDeal,4891.21,0.0,COMPLETE,3736.64,Linked Esewa Payment,Personal Care
H002QI3,2025-10-07,00:00:00,Bought cosmetics from MeroBeauty,3264.41,0.0,COMPLETE,7922.13,Linked Esewa Payment,Personal Care
R9YPDYV,2025-10-17,00:00:00,Bought cosmetics from MeroBeauty,1267.94,0.0,COMPLETE,6560.43,App,Personal Care
X0VFVYC,2025-09-10,00:00:00,Salon Payment - SastoDeal,4044.74,0.0,COMPLETE,1490.46,Linked Esewa Payment,Personal Care
742XKJW,2025-09-23,00:00:00,Bought cosmetics from MeroBeauty,2324.33,0.0,COMPLETE,250.89,App,Personal Care
1S86R4C,2025-09-30,00:00:00,Bought cosmetics from MeroBeauty,4766.34,0.0,COMPLETE,5904.16,THIRDPARTY,Personal Care
RQ6Q2B8,2025-10-17,00:00:00,Bought cosmetics from MeroBeauty,1215.25,0.0,COMPLETE,4003.69,THIRDPARTY,Personal Care
ACJ2K94,2025-09-27,00:00:00,Bought cosmetics from MeroBeauty,4818.61,0.0,COMPLETE,5630.53,App,Personal Care
XNF00AT,2025-09-24,00:00:00,Bought cosmetics from MeroBeauty,2056.73,0.0,COMPLETE,8803.92,App,Personal Care
EO3WTIS,2025-10-08,00:00:00,Salon Payment - SastoDeal,2583.54,0.0,COMPLETE,6091.15,App,Personal Care
KGEVFRM,2025-09-03,00:00:00,Salon Payment - SastoDeal,4327.14,0.0,COMPLETE,3701.62,Linked Esewa Payment,Personal Care
INHEQTT,2025-09-15,00:00:00,Bought cosmetics from MeroBeauty,4162.98,0.0,COMPLETE,4526.7,App,Personal Care
TG58BW6,2025-09-07,00:00:00,Bought cosmetics from MeroBeauty,663.33,0.0,COMPLETE,1912.5,App,Personal Care
LA8NMED,2025-10-17,00:00:00,Salon Payment - SastoDeal,1351.87,0.0,COMPLETE,7227.17,Linked Esewa Payment,Personal Care
RKM5JR8,2025-09-09,00:00:00,Bought cosmetics from MeroBeauty,640.81,0.0,COMPLETE,8857.8,App,Personal Care
1SEVX72,2025-10-20,00:00:00,Salon Payment - SastoDeal,2847.42,0.0,COMPLETE,5046.15,THIRDPARTY,Personal Care
C7W5ZHX,2025-09-28,00:00:00,Paid for Parlor Service,602.14,0.0,COMPLETE,8841.49,Linked Esewa Payment,Personal Care
BNCHOJ1,2025-09-28,00:00:00,Paid for Parlor Service,1136.85,0.0,COMPLETE,6692.93,App,Personal Care
GT8BXN5,2025-10-09,00:00:00,Bought cosmetics from MeroBeauty,339.57,0.0,COMPLETE,4656.48,THIRDPARTY,Personal Care
LHKTWQF,2025-09-18,00:00:00,Bought cosmetics from MeroBeauty,2482.93,0.0,COMPLETE,6650.99,App,Personal Care
HTN5AIP,2025-10-17,00:00:00,Salon Payment - SastoDeal,1671.05,0.0,COMPLETE,4924.7,App,Personal Care
8UIMQVE,2025-10-02,00:00:00,Salon Payment - SastoDeal,4555.53,0.0,COMPLETE,981.91,THIRDPARTY,Personal Care
L3GKORI,2025-10-23,00:00:00,Salon Payment - SastoDeal,211.99,0.0,COMPLETE,4690.77,THIRDPARTY,Personal Care
2C5D8ZY,2025-10-11,00:00:00,Salon Payment - SastoDeal,4379.37,0.0,COMPLETE,4052.37,THIRDPARTY,Personal Care
C90E8UQ,2025-09-17,00:00:00,Salon Payment - SastoDeal,2554.34,0.0,COMPLETE,5411.76,THIRDPARTY,Personal Care
7FS00S7,2025-09-27,00:00:00,Bought cosmetics from MeroBeauty,4582.47,0.0,COMPLETE,7852.18,THIRDPARTY,Personal Care
55L5N3K,2025-10-14,00:00:00,Salon Payment - SastoDeal,996.29,0.0,COMPLETE,2455.66,THIRDPARTY,Personal Care
4ETS3AZ,2025-09-17,00:00:00,Bought cosmetics from MeroBeauty,142.45,0.0,COMPLETE,6507.42,App,Personal Care
RINJ73P,2025-10-08,00:00:00,Bought cosmetics from MeroBeauty,1347.13,0.0,COMPLETE,2594.18,App,Personal Care
BXCZGPK,2025-09-27,00:00:00,Salon Payment - SastoDeal,275.04,0.0,COMPLETE,4460.12,App,Personal Care
A20QKKQ,2025-10-02,00:00:00,Bought cosmetics from MeroBeauty,3513.79,0.0,COMPLETE,9715.72,THIRDPARTY,Personal Care
PGS8JUU,2025-09-08,00:00:00,Bought cosmetics from MeroBeauty,2151.24,0.0,COMPLETE,4440.34,App,Personal Care
FLH07UD,2025-09-27,00:00:00,Salon Payment - SastoDeal,114.13,0.0,COMPLETE,8760.42,THIRDPARTY,Personal Care
7NWDY7Z,2025-10-29,00:00:00,Bought cosmetics from MeroBeauty,3722.4,0.0,COMPLETE,2346.49,Linked Esewa Payment,Personal Care
00HCH0A,2025-09-18,00:00:00,Bought cosmetics from MeroBeauty,3374.11,0.0,COMPLETE,479.17,App,Personal Care
LHQKE11,2025-09-21,00:00:00,Salon Payment - SastoDeal,3766.49,0.0,COMPLETE,4199.86,App,Personal Care
8RRE5TC,2025-10-21,00:00:00,Bought cosmetics from MeroBeauty,2806.35,0.0,COMPLETE,7142.87,Linked Esewa Payment,Personal Care
8IFCGRR,2025-09-07,00:00:00,Salon Payment - SastoDeal,2511.77,0.0,COMPLETE,3275.98,THIRDPARTY,Personal Care
TUU766O,2025-10-22,00:00:00,Salon Payment - SastoDeal,4671.66,0.0,COMPLETE,9324.62,Linked Esewa Payment,Personal Care
IR04MX4,2025-10-26,00:00:00,Salon Payment - SastoDeal,2706.49,0.0,COMPLETE,1295.31,Linked Esewa Payment,Personal Care
UNU42IJ,2025-09-24,00:00:00,Salon Payment - SastoDeal,839.31,0.0,COMPLETE,3777.5,App,Personal Care
VNLLMH1,2025-10-24,00:00:00,Salon Payment - SastoDeal,2927.97,0.0,COMPLETE,9571.63,App,Personal Care
0XVNBQV,2025-09-17,00:00:00,Paid for Parlor Service,2421.12,0.0,COMPLETE,4072.47,App,Personal Care
YROYMJO,2025-10-28,00:00:00,Bought cosmetics from MeroBeauty,557.19,0.0,COMPLETE,180.8,THIRDPARTY,Personal Care
4HA0XM2,2025-09-18,00:00:00,Paid for Parlor Service,4058.4,0.0,COMPLETE,4462.51,App,Personal Care
JN8GXYF,2025-09-09,00:00:00,Salon Payment - SastoDeal,4879.37,0.0,COMPLETE,9332.3,THIRDPARTY,Personal Care
FZNKVAX,2025-09-13,00:00:00,Salon Payment - SastoDeal,4211.75,0.0,COMPLETE,217.08,Linked Esewa Payment,Personal Care
9M2Q2DJ,2025-10-28,00:00:00,Bought cosmetics from MeroBeauty,3889.02,0.0,COMPLETE,4696.85,App,Personal Care
GYCX1AF,2025-10-06,00:00:00,Bought cosmetics from MeroBeauty,3502.47,0.0,COMPLETE,9620.12,THIRDPARTY,Personal Care
LTPFE99,2025-10-18,00:00:00,Salon Payment - SastoDeal,4888.22,0.0,COMPLETE,1159.64,App,Personal Care
03NJKY6,2025-10-05,00:00:00,Bought cosmetics from MeroBeauty,2473.98,0.0,COMPLETE,2471.69,Linked Esewa Payment,Personal Care
UEE1Z9Y,2025-10-10,00:00:00,Paid for Parlor Service,1077.27,0.0,COMPLETE,8378.37,Linked Esewa Payment,Personal Care
64KLD89,2025-10-29,00:00:00,Salon Payment - SastoDeal,3270.98,0.0,COMPLETE,5382.44,Linked Esewa Payment,Personal Care
ZU0ZP3T,2025-09-13,00:00:00,Bought cosmetics from MeroBeauty,3043.04,0.0,COMPLETE,855.89,THIRDPARTY,Personal Care
BJ6B3K9,2025-10-26,00:00:00,Salon Payment - SastoDeal,3933.45,0.0,COMPLETE,6642.4,Linked Esewa Payment,Personal Care
0ZUWLQP,2025-09-26,00:00:00,Paid for Parlor Service,4629.06,0.0,COMPLETE,4228.98,App,Personal Care
A81OD6O,2025-10-13,00:00:00,Bought cosmetics from MeroBeauty,696.31,0.0,COMPLETE,3234.1,THIRDPARTY,Personal Care
BWB9L8F,2025-10-09,00:00:00,Paid for Parlor Service,1966.77,0.0,COMPLETE,7296.97,Linked Esewa Payment,Personal Care
6B5KGW7,2025-09-11,00:00:00,Bought cosmetics from MeroBeauty,4778.04,0.0,COMPLETE,354.99,THIRDPARTY,Personal Care
VW81WJB,2025-10-01,00:00:00,Salon Payment - SastoDeal,3161.93,0.0,COMPLETE,8407.74,App,Personal Care
6CGXSPN,2025-09-13,00:00:00,Paid for Parlor Service,4116.67,0.0,COMPLETE,2540.56,THIRDPARTY,Personal Care
FMLUHIW,2025-09-20,00:00:00,Paid for Parlor Service,3008.29,0.0,COMPLETE,5540.92,THIRDPARTY,Personal Care
Z2WRRZJ,2025-10-08,00:00:00,Bought cosmetics from MeroBeauty,2205.91,0.0,COMPLETE,1852.04,App,Personal Care
WQVX9UE,2025-09-30,00:00:00,Bought cosmetics from MeroBeauty,596.57,0.0,COMPLETE,2608.27,THIRDPARTY,Personal Care
PY3CKUU,2025-09-20,00:00:00,Bought cosmetics from MeroBeauty,3419.07,0.0,COMPLETE,1240.03,Linked Esewa Payment,Personal Care
IASOV7X,2025-10-01,00:00:00,Salon Payment - SastoDeal,4758.58,0.0,COMPLETE,7620.17,Linked Esewa Payment,Personal Care
KJYDPL1,2025-10-15,00:00:00,Salon Payment - SastoDeal,1877.02,0.0,COMPLETE,4883.64,Linked Esewa Payment,Personal Care
NY5TV60,2025-09-04,00:00:00,Bought cosmetics from MeroBeauty,83.07,0.0,COMPLETE,4591.45,App,Personal Care
419UD78,2025-10-25,00:00:00,Bought cosmetics from MeroBeauty,1049.04,0.0,COMPLETE,4552.8,THIRDPARTY,Personal Care
D4ZIY30,2025-10-23,00:00:00,Bought cosmetics from MeroBeauty,3790.12,0.0,COMPLETE,916.13,App,Personal Care
OYG9OI3,2025-10-06,00:00:00,Bought cosmetics from MeroBeauty,4764.34,0.0,COMPLETE,9774.7,App,Personal Care
0ZRCZFL,2025-10-10,00:00:00,Paid for Parlor Service,2953.59,0.0,COMPLETE,5918.75,THIRDPARTY,Personal Care
DKQEJN8,2025-10-20,00:00:00,Salon Payment - SastoDeal,2308.24,0.0,COMPLETE,6930.78,Linked Esewa Payment,Personal Care
W38M7FD,2025-10-13,00:00:00,Paid for Parlor Service,4591.43,0.0,COMPLETE,1331.18,App,Personal Care
EXRGYH0,2025-10-14,00:00:00,Bought cosmetics from MeroBeauty,2974.01,0.0,COMPLETE,4783.34,THIRDPARTY,Personal Care
IAYZAPR,2025-10-11,00:00:00,Salon Payment - SastoDeal,3907.79,0.0,COMPLETE,5964.73,Linked Esewa Payment,Personal Care
L7RK7CL,2025-09-01,00:00:00,Bought cosmetics from MeroBeauty,1924.51,0.0,COMPLETE,7811.65,Linked Esewa Payment,Personal Care
MSW18F1,2025-09-29,00:00:00,Paid for Parlor Service,560.32,0.0,COMPLETE,7512.9,App,Personal Care
FHJWCTV,2025-10-19,00:00:00,Salon Payment - SastoDeal,2569.34,0.0,COMPLETE,9789.55,THIRDPARTY,Personal Care
PNA9NN4,2025-10-05,00:00:00,Bought cosmetics from MeroBeauty,1356.0,0.0,COMPLETE,8766.54,THIRDPARTY,Personal Care
E61KZPW,2025-09-17,00:00:00,Bought cosmetics from MeroBeauty,3894.1,0.0,COMPLETE,5760.32,Linked Esewa Payment,Personal Care
O7LFHST,2025-09-16,00:00:00,Paid for Parlor Service,2458.9,0.0,COMPLETE,9264.41,Linked Esewa Payment,Personal Care
I24IA50,2025-09-03,00:00:00,Bought cosmetics from MeroBeauty,705.98,0.0,COMPLETE,8349.71,THIRDPARTY,Personal Care
WH5BSVX,2025-10-02,00:00:00,Paid for Parlor Service,4886.63,0.0,COMPLETE,7930.3,Linked Esewa Payment,Personal Care
U8855NV,2025-10-25,00:00:00,Bought cosmetics from MeroBeauty,619.96,0.0,COMPLETE,4776.97,App,Personal Care
3BB1BY9,2025-09-19,00:00:00,Bought cosmetics from MeroBeauty,2449.01,0.0,COMPLETE,7008.71,App,Personal Care
E9G1F2I,2025-09-03,00:00:00,Salon Payment - SastoDeal,4461.52,0.0,COMPLETE,6093.7,Linked Esewa Payment,Personal Care
8G20OH9,2025-10-07,00:00:00,Paid for Parlor Service,1392.83,0.0,COMPLETE,6027.46,Linked Esewa Payment,Personal Care
JBXKQ9B,2025-09-20,00:00:00,Salon Payment - SastoDeal,139.81,0.0,COMPLETE,9024.07,App,Personal Care
BD21XQ6,2025-10-23,00:00:00,Salon Payment - SastoDeal,2881.61,0.0,COMPLETE,4663.25,App,Personal Care
9WVX663,2025-09-28,00:00:00,Salon Payment - SastoDeal,541.64,0.0,COMPLETE,3560.15,Linked Esewa Payment,Personal Care
4FYJCKL,2025-10-10,00:00:00,Salon Payment - SastoDeal,3805.68,0.0,COMPLETE,6264.32,THIRDPARTY,Personal Care
YOFST0M,2025-10-29,00:00:00,Salon Payment - SastoDeal,1091.5,0.0,COMPLETE,955.93,THIRDPARTY,Personal Care
XIXKOGV,2025-10-22,00:00:00,Bought cosmetics from MeroBeauty,1761.11,0.0,COMPLETE,9848.68,THIRDPARTY,Personal Care
W77N9U4,2025-09-10,00:00:00,Salon Payment - SastoDeal,3159.61,0.0,COMPLETE,2087.3,App,Personal Care
A951H9C,2025-10-01,00:00:00,Salon Payment - SastoDeal,1580.33,0.0,COMPLETE,1231.75,THIRDPARTY,Personal Care
RCFVPUE,2025-09-25,00:00:00,Paid for Parlor Service,2534.22,0.0,COMPLETE,7288.42,THIRDPARTY,Personal Care
7CEMAJG,2025-09-17,00:00:00,Paid for Parlor Service,2101.34,0.0,COMPLETE,966.01,THIRDPARTY,Personal Care
K0XI1CW,2025-10-21,00:00:00,Bought cosmetics from MeroBeauty,763.26,0.0,COMPLETE,5024.19,Linked Esewa Payment,Personal Care
DXA95I3,2025-09-15,00:00:00,Bought cosmetics from MeroBeauty,1696.59,0.0,COMPLETE,9994.83,Linked Esewa Payment,Personal Care
WUTZIKU,2025-10-26,00:00:00,Salon Payment - SastoDeal,3068.27,0.0,COMPLETE,8783.81,Linked Esewa Payment,Personal Care
0A5WSW0,2025-10-17,00:00:00,Paid for Parlor Service,4835.04,0.0,COMPLETE,8872.06,THIRDPARTY,Personal Care
OV98MZ4,2025-09-23,00:00:00,Paid for Parlor Service,2075.37,0.0,COMPLETE,1873.86,Linked Esewa Payment,Personal Care
SZGKQ53,2025-09-16,00:00:00,Paid for Parlor Service,3370.89,0.0,COMPLETE,6090.26,App,Personal Care
89EP9N2,2025-10-06,00:00:00,Bought cosmetics from MeroBeauty,1620.45,0.0,COMPLETE,8884.63,Linked Esewa Payment,Personal Care
RM9FLUR,2025-09-20,00:00:00,Paid for Parlor Service,445.9,0.0,COMPLETE,346.03,App,Personal Care
WP5FLBY,2025-10-22,00:00:00,Salon Payment - SastoDeal,1544.89,0.0,COMPLETE,2322.0,Linked Esewa Payment,Personal Care
023DTQZ,2025-10-25,00:00:00,Bought cosmetics from MeroBeauty,576.33,0.0,COMPLETE,8554.97,THIRDPARTY,Personal Care
C9UQWIL,2025-10-31,00:00:00,Paid for Parlor Service,2577.98,0.0,COMPLETE,277.35,Linked Esewa Payment,Personal Care
XS7ZUEM,2025-09-22,00:00:00,Paid for Parlor Service,4059.54,0.0,COMPLETE,9375.78,Linked Esewa Payment,Personal Care
NTCE686,2025-10-19,00:00:00,Bought cosmetics from MeroBeauty,1331.61,0.0,COMPLETE,2546.9,THIRDPARTY,Personal Care
H9JEE61,2025-10-08,00:00:00,Paid for Parlor Service,3691.0,0.0,COMPLETE,3949.95,Linked Esewa Payment,Personal Care
J0H5O4M,2025-10-18,00:00:00,Paid for Parlor Service,1145.57,0.0,COMPLETE,5877.17,App,Personal Care
BY03BE1,2025-09-18,00:00:00,Paid for Parlor Service,3967.32,0.0,COMPLETE,7242.04,App,Personal Care
3O29OTM,2025-10-03,00:00:00,Bought cosmetics from MeroBeauty,2515.8,0.0,COMPLETE,137.5,App,Personal Care
24HS7AH,2025-09-15,00:00:00,Paid for Parlor Service,1425.97,0.0,COMPLETE,5325.11,Linked Esewa Payment,Personal Care
RN3WJNY,2025-10-20,00:00:00,Bought cosmetics from MeroBeauty,471.92,0.0,COMPLETE,1846.38,THIRDPARTY,Personal Care
UVQ5CRS,2025-09-14,00:00:00,Salon Payment - SastoDeal,3246.06,0.0,COMPLETE,7418.51,App,Personal Care
YMMHLR0,2025-10-29,00:00:00,Salon Payment - SastoDeal,4150.16,0.0,COMPLETE,346.11,THIRDPARTY,Personal Care
33GSSOO,2025-09-30,00:00:00,Bought cosmetics from MeroBeauty,1129.15,0.0,COMPLETE,3436.91,Linked Esewa Payment,Personal Care
5NNRG7J,2025-10-22,00:00:00,Salon Payment - SastoDeal,513.82,0.0,COMPLETE,7820.31,Linked Esewa Payment,Personal Care
IAV991S,2025-10-12,00:00:00,Bought cosmetics from MeroBeauty,2345.08,0.0,COMPLETE,486.89,App,Personal Care
ZVT1D60,2025-09-07,00:00:00,Salon Payment - SastoDeal,2122.12,0.0,COMPLETE,1007.56,THIRDPARTY,Personal Care
BQGFLHR,2025-09-05,00:00:00,Paid for Parlor Service,80.32,0.0,COMPLETE,2049.38,App,Personal Care
BIBDRZ2,2025-10-02,00:00:00,Bought cosmetics from MeroBeauty,953.14,0.0,COMPLETE,9092.0,Linked Esewa Payment,Personal Care
P0GBM1W,2025-10-29,00:00:00,Salon Payment - SastoDeal,415.97,0.0,COMPLETE,3912.22,App,Personal Care
47I87MG,2025-09-01,00:00:00,Bought cosmetics from MeroBeauty,4399.93,0.0,COMPLETE,5914.23,THIRDPARTY,Personal Care
MZW0TOM,2025-10-29,00:00:00,Salon Payment - SastoDeal,884.78,0.0,COMPLETE,605.88,THIRDPARTY,Personal Care
HSBDIIT,2025-09-07,00:00:00,Paid for Parlor Service,2309.74,0.0,COMPLETE,8391.58,Linked Esewa Payment,Personal Care
YL9CNKP,2025-10-08,00:00:00,Salon Payment - SastoDeal,2915.02,0.0,COMPLETE,9106.28,App,Personal Care
CRAWSYP,2025-09-21,00:00:00,Bought cosmetics from MeroBeauty,2503.01,0.0,COMPLETE,163.61,App,Personal Care
LAE9UMR,2025-09-09,00:00:00,Bought cosmetics from MeroBeauty,4896.88,0.0,COMPLETE,4346.77,App,Personal Care
QOEQEL2,2025-10-02,00:00:00,Paid for Parlor Service,4372.32,0.0,COMPLETE,4278.05,Linked Esewa Payment,Personal Care
G6FX6G7,2025-10-14,00:00:00,Paid for Parlor Service,735.07,0.0,COMPLETE,3896.73,App,Personal Care
VEWLD9D,2025-09-16,00:00:00,Bought cosmetics from MeroBeauty,2172.77,0.0,COMPLETE,2819.79,Linked Esewa Payment,Personal Care
CBG1W31,2025-09-12,00:00:00,Paid for Parlor Service,1930.19,0.0,COMPLETE,3123.35,App,Personal Care
25CDXPG,2025-09-18,00:00:00,Bought cosmetics from MeroBeauty,3103.82,0.0,COMPLETE,850.89,Linked Esewa Payment,Personal Care
KJR7LSC,2025-10-02,00:00:00,Paid for Parlor Service,1423.5,0.0,COMPLETE,3217.6,THIRDPARTY,Personal Care
QIXB9KB,2025-10-25,00:00:00,Paid for Parlor Service,4425.16,0.0,COMPLETE,8171.12,Linked Esewa Payment,Personal Care
XTGMURS,2025-10-09,00:00:00,Paid for Parlor Service,245.87,0.0,COMPLETE,6126.19,Linked Esewa Payment,Personal Care
9EC5636,2025-10-10,00:00:00,Paid for Parlor Service,2749.54,0.0,COMPLETE,1462.64,App,Personal Care
9S4WEP8,2025-10-16,00:00:00,Paid for Parlor Service,2556.34,0.0,COMPLETE,1730.02,Linked Esewa Payment,Personal Care
C3IDWNH,2025-09-18,00:00:00,Bought cosmetics from MeroBeauty,4779.67,0.0,COMPLETE,4635.71,THIRDPARTY,Personal Care
57BII7W,2025-09-19,00:00:00,Bought cosmetics from MeroBeauty,2047.56,0.0,COMPLETE,555.99,Linked Esewa Payment,Personal Care
TJ5DNI5,2025-09-08,00:00:00,Bought cosmetics from MeroBeauty,1457.56,0.0,COMPLETE,246.88,Linked Esewa Payment,Personal Care
09YWOOP,2025-09-10,00:00:00,Bought cosmetics from MeroBeauty,1074.18,0.0,COMPLETE,6918.73,Linked Esewa Payment,Personal Care
4QCLQ28,2025-10-18,00:00:00,Bought cosmetics from MeroBeauty,1473.65,0.0,COMPLETE,5301.51,THIRDPARTY,Personal Care
JH9BXZD,2025-10-02,00:00:00,Paid for Parlor Service,3617.91,0.0,COMPLETE,8741.38,THIRDPARTY,Personal Care
R1ALFXR,2025-10-03,00:00:00,Salon Payment - SastoDeal,4641.61,0.0,COMPLETE,7884.22,Linked Esewa Payment,Personal Care
T11HUD7,2025-10-10,00:00:00,Paid for Parlor Service,3668.82,0.0,COMPLETE,6622.58,Linked Esewa Payment,Personal Care
06TSL48,2025-09-04,00:00:00,Salon Payment - SastoDeal,4863.24,0.0,COMPLETE,9242.43,THIRDPARTY,Personal Care
XTDLIZ2,2025-10-02,00:00:00,Bought cosmetics from MeroBeauty,4374.7,0.0,COMPLETE,8199.22,THIRDPARTY,Personal Care
N13F2XO,2025-09-09,00:00:00,Paid for Parlor Service,3779.27,0.0,COMPLETE,4107.55,THIRDPARTY,Personal Care
5VNRC8N,2025-09-11,00:00:00,Paid for Parlor Service,3257.34,0.0,COMPLETE,5147.29,Linked Esewa Payment,Personal Care
NDIS45M,2025-09-29,00:00:00,Bought cosmetics from MeroBeauty,3878.54,0.0,COMPLETE,9673.63,App,Personal Care
R8KRB0D,2025-10-01,00:00:00,Paid for Parlor Service,3127.98,0.0,COMPLETE,3086.4,THIRDPARTY,Personal Care
